Parameter,Units,Event,Tide,Value
Upper 95th percentile current velocity,[m/s],1,Ebb,0.294020303275119
Upper 95th percentile current velocity,[m/s],1,Flood,0.281368823395251
Upper 95th percentile current velocity,[m/s],2,Ebb,0.196818187809298
Upper 95th percentile current velocity,[m/s],2,Flood,0.172463667891056
Upper 95th percentile current velocity,[m/s],3,Ebb,0.31213547111438
Upper 95th percentile current velocity,[m/s],3,Flood,0.267763608780632
Upper 95th percentile current velocity,[m/s],4,Ebb,0.0896114659881093
Upper 95th percentile current velocity,[m/s],4,Flood,0.0242864850458784
Upper 95th percentile current velocity,[m/s],5,Ebb,0.174661788876925
Upper 95th percentile current velocity,[m/s],5,Flood,0.0718976211212096
Upper 95th percentile current velocity,[m/s],6,Ebb,0.0617478635259754
Upper 95th percentile current velocity,[m/s],6,Flood,0.142529956437595
Upper 95th percentile current velocity,[m/s],7,Ebb,0.205642731021375
Upper 95th percentile current velocity,[m/s],7,Flood,0.154127873305609
Upper 95th percentile current velocity,[m/s],8,Ebb,0.130962853871457
Upper 95th percentile current velocity,[m/s],8,Flood,0.153691572370439
Upper 95th percentile current velocity,[m/s],9,Ebb,0.184297086769127
Upper 95th percentile current velocity,[m/s],9,Flood,0.165595493671513
Upper 95th percentile current velocity,[m/s],10,Ebb,0.213423563454556
Upper 95th percentile current velocity,[m/s],10,Flood,0.166360247567527
Mean current velocity,[m/s],1,Ebb,0.24408951312732
Mean current velocity,[m/s],1,Flood,0.23901545419052
Mean current velocity,[m/s],2,Ebb,0.154774848726362
Mean current velocity,[m/s],2,Flood,0.130727842201923
Mean current velocity,[m/s],3,Ebb,0.254145171737353
Mean current velocity,[m/s],3,Flood,0.186910147378953
Mean current velocity,[m/s],4,Ebb,0.0331681798472777
Mean current velocity,[m/s],4,Flood,0.021248306463543
Mean current velocity,[m/s],5,Ebb,0.0504322901803201
Mean current velocity,[m/s],5,Flood,0.0284930033758416
Mean current velocity,[m/s],6,Ebb,0.0236653245470671
Mean current velocity,[m/s],6,Flood,0.0899376442643139
Mean current velocity,[m/s],7,Ebb,0.122023210527876
Mean current velocity,[m/s],7,Flood,0.0674322059473356
Mean current velocity,[m/s],8,Ebb,0.0407322222342253
Mean current velocity,[m/s],8,Flood,0.0548565088230977
Mean current velocity,[m/s],9,Ebb,0.0628245507839959
Mean current velocity,[m/s],9,Flood,0.0358970086786757
Mean current velocity,[m/s],10,Ebb,0.153515204637824
Mean current velocity,[m/s],10,Flood,0.114222919042462
Median current velocity,[m/s],1,Ebb,0.2467841105514
Median current velocity,[m/s],1,Flood,0.241653616954056
Median current velocity,[m/s],2,Ebb,0.159223169543218
Median current velocity,[m/s],2,Flood,0.132553165990449
Median current velocity,[m/s],3,Ebb,0.253266479099033
Median current velocity,[m/s],3,Flood,0.188226914693026
Median current velocity,[m/s],4,Ebb,0.0179273649999999
Median current velocity,[m/s],4,Flood,0.0179273649999999
Median current velocity,[m/s],5,Ebb,0.0179273649999999
Median current velocity,[m/s],5,Flood,0.0179273649999999
Median current velocity,[m/s],6,Ebb,0.0179273649999999
Median current velocity,[m/s],6,Flood,0.0991631784672976
Median current velocity,[m/s],7,Ebb,0.129007237803508
Median current velocity,[m/s],7,Flood,0.0585147763319768
Median current velocity,[m/s],8,Ebb,0.0179273649999999
Median current velocity,[m/s],8,Flood,0.0179273649999999
Median current velocity,[m/s],9,Ebb,0.0179273649999999
Median current velocity,[m/s],9,Flood,0.0179273649999999
Median current velocity,[m/s],10,Ebb,0.151285224269698
Median current velocity,[m/s],10,Flood,0.111734996480974
