Parameter,Units,EmersionEvent,Value
Window of Opportunity durations,[hrs],1,6.85
Window of Opportunity durations,[hrs],2,22.9333333333333
Window of Opportunity durations,[hrs],3,10.0333333333333
Window of Opportunity durations,[hrs],4,10.3666666666667
Window of Opportunity durations,[hrs],5,9.85
Window of Opportunity durations,[hrs],6,9.95
Window of Opportunity durations,[hrs],7,9.56666666666667
Window of Opportunity durations,[hrs],8,9.58333333333333
Window of Opportunity durations,[hrs],9,9.78333333333333
Window of Opportunity durations,[hrs],10,10.2
Window of Opportunity durations,[hrs],11,0.933333333333333
